id;date;description;amount
1;2020-03-15T22:29:32;Mississippi New Mexico Towels;97552
2;2020-03-16T01:08:02;Plastic Developer actuating;40055
3;2020-03-15T09:01:12;Persevering;36513
4;2020-03-16T00:14:43;hard drive olive Sausages;7818
5;2020-03-15T06:08:36;generate Portugal;92824
6;2020-03-15T14:41:53;Rustic architect;86710
7;2020-03-16T00:38:42;Home Loan Account;62373
8;2020-03-15T09:00:48;Iowa Rhode Island;37746
9;2020-03-15T10:26:00;Tokelau Rhode Island;33898
10;2020-03-16T02:01:47;Ergonomic Triple-buffered infrastructures;72605
